object_id,Title,Date,Collection ID,Collection,Place,Tags,Copyright,Creator,URL
34384,Plan of the Royal and Capital City of Lwow (with an enclave of Jałowcy and Maszow. Lwow I Part),1890,10_pict,Ihor Kotlobulatov,Lviv,"Lwów, Lemberg, Lviv",Ihor Kotlobulatov,Municipal Council. Lviv,https://uma.lvivcenter.org/en/maps/34384
34390,Drawing of the Decorations of the City of Lviv,1861,Austrian_National_Library,Austrian National Library,Lviv,"Lwów, Lviv, Lemberg","Austrian National Library, Vienna",Waclaw Pruss Jablonowski,https://uma.lvivcenter.org/en/maps/34390
34394,Plan of the City of Lemberg with its Suburbs and Extreme Boudaries,с. 1828,Austrian_National_Library,Austrian National Library,Lviv,"Lemberg, Lwów, Lviv","Austrian National Library, Vienna",Unknown,https://uma.lvivcenter.org/en/maps/34394
34395,Leopol City Plan the Capital of Red Russ with Neighbouring Towns,c. 1770,Austrian_National_Library,Austrian National Library,Lviv,"Leopol, Lviv, Lemberg, Lwow","Austrian National Library, Vienna",Author Charles De Scheffer,https://uma.lvivcenter.org/en/maps/34395
34398,Horbay’s Orientational Plan of Greater Lwow,1931,10_pict,Ihor Kotlobulatov,Lviv,"Lwów, Lviv",Ihor Kotlobulatov,Nowa Reklama. Lviv,https://uma.lvivcenter.org/en/maps/34398
34400,Situational Map of the General Regional Exhibition in Lwow,1894,10_pict,Ihor Kotlobulatov,Lviv,"Lemberg, Lwow, Lviv",Ihor Kotlobulatov,Herman Altenberg's Bookstore. Lwow,https://uma.lvivcenter.org/en/maps/34400
34401,Plan of Lviv,1939,10_pict,Ihor Kotlobulatov,Lviv,"Lviv, Lvov",Ihor Kotlobulatov,Komercija. Lviv,https://uma.lvivcenter.org/en/maps/34401
34402,Plan of Lemberg,с. 1863,10_pict,Ihor Kotlobulatov,Lviv,"Lemberg, Lviv, Lwów",Ihor Kotlobulatov,Artaria &amp; Co. Vienna,https://uma.lvivcenter.org/en/maps/34402
34403,Plan of Lvov,1944,19_pict,Taras Pinyazhko,Lviv,Lviv,Taras Pinyazhko,Unknown,https://uma.lvivcenter.org/en/maps/34403
34406,Plan of Adjustments of Inner City,c. 1920,26_pict,State Archives of Lviv Region,Lviv,"Lviv, Lwów",State Archives of Lviv Region,Unknown,https://uma.lvivcenter.org/en/maps/34406
34408,Plan of the City of Lwow from the Final Years of the 18th Century,с. 1802,26_pict,State Archives of Lviv Region,Lviv,"Lemberg, Lviv, Lwów",State Archives of Lviv Region,Technical Department of the Magistrate. Lviv,https://uma.lvivcenter.org/en/maps/34408
34409,Lwów,1932,105_pict,Kharchuk Khrystyna,Lviv,"Lwów, Lviv",Kharchuk Khrystyna,Ksiaznica-Atlas. Lviv-Warszawa,https://uma.lvivcenter.org/en/maps/34409
34420,Royal and Capital City of Lwow,1936,,,Lviv,"Lviv, Lwów",,Municipality. Lviv,https://uma.lvivcenter.org/en/maps/34420
34424,Situation Plan (of Halicz),1795,Austrian_War_Archive,Austrian War Archive,Halych,Halych,"Austrian War Archive, Vienna",Author Mahovich,https://uma.lvivcenter.org/en/maps/34424
34429,Map of the City of Czernowitz,1823,Austrian_War_Archive,Austrian War Archive,Chernivtsi,Chernivtsi,"Austrian War Archive, Vienna",Manuscript,https://uma.lvivcenter.org/en/maps/34429
34430,City of Czernowitz,с. 1830,Austrian_War_Archive,Austrian War Archive,Chernivtsi,"Chernivtsi, Czernowitz","Austrian War Archive, Vienna",Manuscript,https://uma.lvivcenter.org/en/maps/34430
34431,Plan of Czernowitz,1854,Austrian_War_Archive,Austrian War Archive,Chernivtsi,Chernivtsi,"Austrian War Archive, Vienna",The Quartermaster of Austrian General Staff,https://uma.lvivcenter.org/en/maps/34431
34432,Map of Czernowitz. Supplemented in 1880,1880,Austrian_War_Archive,Austrian War Archive,Chernivtsi,Chernivtsi,"Austrian War Archive, Vienna",Artaria &amp; Co. Vienna,https://uma.lvivcenter.org/en/maps/34432
