object_id,Title,Date,Technique,Collection ID,Collection,Place,Tags,Copyright,Creator,URL
8,"Vakhnyanyna Street, late 1940s",1959,Photograph,14_pict,Andriy Dorosh,Lviv,"Goat, Vakhnyanyna Street, postwar Lviv","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh",https://uma.lvivcenter.org/en/photos/8
41,Bohdan Khmelnytskyi Culture Park,"Post-War period, Communist Rule (1946-1990)",Photograph,14_pict,Andriy Dorosh,Lviv,"Trees, city view from Khmelnytskyi Park","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh",https://uma.lvivcenter.org/en/photos/41
48,"The High Castle, 1940s","1948, 6 травня",Photograph,14_pict,Andriy Dorosh,Lviv,View of downtown Lviv from the High Castle,"Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh",https://uma.lvivcenter.org/en/photos/48
52,Vynnychenka Street. Gunpowder Tower (late 1940s),"Post-War period, Communist Rule (1946-1990)",Photograph,14_pict,Andriy Dorosh,Lviv,"Vynnychenka Street. Gunpowder Tower, fragment of Kornyakt Tower","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh",https://uma.lvivcenter.org/en/photos/52
53,Rynok Square (second half of the 1940s),"Post-War period, Communist Rule (1946-1990)",Photograph,14_pict,Andriy Dorosh,Lviv,"Adonis fountain, Rynok square, fog","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh",https://uma.lvivcenter.org/en/photos/53
65,"Svobody Boulevard, late 1940s","Post-War period, Communist Rule (1946-1990)",Photograph,14_pict,Andriy Dorosh,Lviv,"Opera House in Liberty Boulevard, postwar landscape","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh",https://uma.lvivcenter.org/en/photos/65
68,"Svobody Boulevard, 1940s",1946-1990,Photograph,14_pict,Andriy Dorosh,Lviv,"Jan Sobieski Monument, fog, Wały Hetmańskie, Svobody Boulevard","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh","Julian Dorosh;""Halytska Brama"", Lviv;Andriy Dorosh",https://uma.lvivcenter.org/en/photos/68
69,Former Akademicki Square,1913-1918,Postcards,72_pict,Oleksandr Korobov,Lviv,"Monument, houses, cart, cinema",Unknown;Unknown;Oleksandr Korobov,Unknown;Unknown;Oleksandr Korobov,https://uma.lvivcenter.org/en/photos/69
70,Interior of the Mikolasza Passage,1901-1914,Postcards,10_pict,Ihor Kotlobulatov,Lviv,"Trade gallery, restaurant, visitors",Ihor Kotlobulatov,Ihor Kotlobulatov,https://uma.lvivcenter.org/en/photos/70
71,St. Mary Magdalene Church,1913,Postcards,19_pict,Taras Pinyazhko,Lviv,St. Mari Magdalene church,"Unknown;Leon Propst, Lwow;Taras Pinyazhko","Unknown;Leon Propst, Lwow;Taras Pinyazhko",https://uma.lvivcenter.org/en/photos/71
72,Jan Kiliński Monument in Park,1914-1915,Postcards,19_pict,Taras Pinyazhko,Lviv,"Kilińskiego Park, restaurant, monument","Unknown;Arnold &amp; Schlag, Lwow;Taras Pinyazhko","Unknown;Arnold &amp; Schlag, Lwow;Taras Pinyazhko",https://uma.lvivcenter.org/en/photos/72
73,Water Tower in Park,1914-1915,Postcards,19_pict,Taras Pinyazhko,Lviv,"Kilińskiego Park, water tower","Unknown;Arnold &amp; Schlag, Lwow;Taras Pinyazhko","Unknown;Arnold &amp; Schlag, Lwow;Taras Pinyazhko",https://uma.lvivcenter.org/en/photos/73
77,The market square in Zhovkva,Interwar years (1918-1939),Photograph,23_pict,Iryna Pustynnikova,Zhovkva,"market square, Zhovkva cathedral",Unknown;Unknown;Iryna Pustynnikova,Unknown;Unknown;Iryna Pustynnikova,https://uma.lvivcenter.org/en/photos/77
79,Latin cathedral,1914,Photograph,3_pict,Lviv Historical Museum,Lviv,"Cathedral, Gothic, the belfry","Josef Kosciesza Jaworski;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Josef Kosciesza Jaworski;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/79
82,Lviv University library,,Photograph,3_pict,Lviv Historical Museum,Lviv,"Street, library","Марек Мюнц;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Марек Мюнц;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/82
83,Sacrament sisters' church interior,1908,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Church, interior, altar, furniture, décor","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/83
84,St. Martyn church interior,1908,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Architecture, church, sculpture, painting, decorative arts","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/84
85,Jesuit church interior,1908,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Church, interior, architectural details, sculpture","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/85
86,"Portal of the old building on Bliakharska St., 19",,Photograph,3_pict,Lviv Historical Museum,Lviv,"Building, architectural details, sculpture","Мауриси Фрухтманн;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Мауриси Фрухтманн;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/86
87,Back street near the Latin cathedral in Lviv,,Photograph,3_pict,Lviv Historical Museum,Lviv,"Street, buildings, transport, gas street lamp","Unknown;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Unknown;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/87
88,St. Maria Magdalena church interior,1906,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Architecture, church, sculpture, painting, decorative arts","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/88
89,Main altar of the Discalced Carmelite sisters' church,1906,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Church, interior, altar, architectural details","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/89
90,Interior of the church of Our Lady of the Snow,1906,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Church, interior, furniture, décor","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/90
91,Voloska (Uspenska) church interior,1908,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Architecture, church interior, sculpture, painting","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/91
92,Іконостас Преображенської церкви,,Photograph,3_pict,Lviv Historical Museum,Lviv,,"Teodozy Bahrynowicz;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Teodozy Bahrynowicz;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/92
93,Transfiguration church,1910,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Teatralna St., Skarbkowska St., church, city greenery, people","Teodozy Bahrynowicz;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Teodozy Bahrynowicz;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/93
94,Main altar of the Lathin cathedral,1906,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Latin cathedral, altar, sculptures, architectural details","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/94
96,Dominican church altar,1906,Photograph,10_pict,Ihor Kotlobulatov,Lviv,"Architecture, church, altar, sculpture","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov","Unknown;Publishing House ""Centr Europy"", Lviv;Ihor Kotlobulatov",https://uma.lvivcenter.org/en/photos/96
97,Banking house Sokal&amp;Lilien building,,Photograph,3_pict,Lviv Historical Museum,Lviv,"Getmanska St., Kilinskiego St., bank, tramway, people, advertising","Unknown;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Unknown;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/97
98,Bałłaban's building,,Photograph,3_pict,Lviv Historical Museum,Lviv,"Halytska St., Valova St., buildings, street lamps, commerce, people","Unknown;Publishing House ""Centr Europy"", Lviv;Бібліотека Інституту Народознавства при НАНУ, Львів","Unknown;Publishing House ""Centr Europy"", Lviv;Бібліотека Інституту Народознавства при НАНУ, Львів",https://uma.lvivcenter.org/en/photos/98
99,Saksahanskoho Street,,Photograph,3_pict,Lviv Historical Museum,Lviv,"Street, people, advertising","Рудольф Губер, Зофія Губер;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Рудольф Губер, Зофія Губер;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/99
100,Головна брама Львівського вокзалу,,Photograph,3_pict,Lviv Historical Museum,Lviv,,"Unknown;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum","Unknown;Publishing House ""Centr Europy"", Lviv;Lviv Historical Museum",https://uma.lvivcenter.org/en/photos/100
103,Fountain with Sculpture of Amfitrita,1920-1939,Photograph,24_pict,L. Simutin,Lviv,"Fountain, sculpture of Amfitrita, Market Square, Shevska Street, Krakivska Street","Adam Lenkiewicz;""Halytska Brama"", Lviv;Leonid Simutin","Adam Lenkiewicz;""Halytska Brama"", Lviv;Leonid Simutin",https://uma.lvivcenter.org/en/photos/103
104,"Fountain ""Svitezianka""",1920-1939,Photograph,24_pict,L. Simutin,Lviv,"Fountain, Galician Square, Halytska Street, Municipal Savings Bank, Tower of Latin Cathedral.","Adam Lenkiewicz;""Halytska Brama"", Lviv;Leonid Simutin","Adam Lenkiewicz;""Halytska Brama"", Lviv;Leonid Simutin",https://uma.lvivcenter.org/en/photos/104
