object_id,Title,Date,Technique,Collection ID,Collection,Place,Tags,Copyright,Creator,URL
8,"Вулиця Вахнянина, кінець 1940-х років",1949,Photograph,14_pict,Андрій Дорош,Львів,"Коза, вулиця Вахнянина, післявоєнне місто","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош",https://uma.lvivcenter.org/uk/photos/8
41,Парк культури імені Богдана Хмельницького,"Післявоєнний період, Комуністичний режим, 1946-1990",Photograph,14_pict,Андрій Дорош,Львів,"Дерева, вид на місто з парку Хмельницького","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош",https://uma.lvivcenter.org/uk/photos/41
48,"Високий Замок, 1940-ві роки","1948, 6 травня",Photograph,14_pict,Андрій Дорош,Львів,Вид на центральну частину міста з Високого Замку,"Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош",https://uma.lvivcenter.org/uk/photos/48
52,Вулиця Винниченка. Порохова вежа (кінець 1940-х років),"Післявоєнний період, Комуністичний режим, 1946-1990",Photograph,14_pict,Андрій Дорош,Львів,"Вулиця Винниченка, Порохова вежа, фрагмент вежі Корнякта","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош",https://uma.lvivcenter.org/uk/photos/52
53,Площа Ринок (друга половина 1940-х років),"Післявоєнний період, Комуністичний режим, 1946-1990",Photograph,14_pict,Андрій Дорош,Львів,"Фонтан ""Адоніс"", площа Ринок, туман","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош",https://uma.lvivcenter.org/uk/photos/53
65,"Проспект Свободи, кінець 1940-х років","Післявоєнний період, Комуністичний режим, 1946-1952",Photograph,14_pict,Андрій Дорош,Львів,"Опера на Проспекті Свободи, післявоєнний краєвид","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош",https://uma.lvivcenter.org/uk/photos/65
68,"Проспект Свободи, 1940-ві роки","Післявоєнний період, Комуністичний режим, 1946-1990",Photograph,14_pict,Андрій Дорош,Львів,"Пам'ятник Яну Собеському, туман, Гетьманські вали, проспект Свободи","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош","Юліан Дорош;""Галицька брама"", Львів;Андрій Дорош",https://uma.lvivcenter.org/uk/photos/68
69,Колишній пляц Академіцкі,1913-1918,Postcards,72_pict,Олександр Коробов,Львів,"пам'ятник, будинку, віз, кіно",невідомий;невідомий;Олександр Коробов,невідомий;невідомий;Олександр Коробов,https://uma.lvivcenter.org/uk/photos/69
70,Інтерєр пасажу Міколяша,1901-1914,Postcards,10_pict,Ігор Котлобулатов,Львів,"Торгова галерея, ресторан, відвідувачі",Ігор Котлобулатов,Ігор Котлобулатов,https://uma.lvivcenter.org/uk/photos/70
71,Костел Св. Марії Магдалини,1913,Postcards,19_pict,Тарас Піняжко,Львів,"Костел Св. Марії Магдалини, плебанія, пам'ятний стовп","невідомий;Леон Пропст, Львів;Тарас Піняжко","невідомий;Леон Пропст, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/71
72,Пам'ятник Яну Кілінському у парку,1914-1915,Postcards,19_pict,Тарас Піняжко,Львів,"Парк Кілінського, ресторан, пам'ятник","невідомий;Арнольд і Шляг, Львів;Тарас Піняжко","невідомий;Арнольд і Шляг, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/72
73,Водна вежа в парку,1914-1915,Postcards,19_pict,Тарас Піняжко,Львів,"Парк Кілінського, водна вежа","невідомий;Арнольд і Шляг, Львів;Тарас Піняжко","невідомий;Арнольд і Шляг, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/73
77,Ринкова площа у Жовкві,Міжвоєнні роки (1918-1939),Photograph,23_pict,Ірина Пустиннікова,Жовква,"Ринкова площа, торгові ряди, жовківський костел",невідомий;невідомий;Ірина Пустиннікова,невідомий;невідомий;Ірина Пустиннікова,https://uma.lvivcenter.org/uk/photos/77
79,Латинська катедра,1914,Photograph,3_pict,Львівський історичний музей,Львів,"Катедра, готика, дзвіниця","Юзеф Косьчєша Яворскі;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","Юзеф Косьчєша Яворскі;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/79
82,Бібліотека Львівського університету,1905,Photograph,3_pict,Львівський історичний музей,Львів,"Вулиця, бібліотека","Марек Мюнц;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","Марек Мюнц;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/82
83,Інтер’єр костела сакраменток,1908,Photograph,10_pict,Ігор Котлобулатов,Львів,"Костел, інтер'єр, вівтар, меблі, декор","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/83
84,Інтер'єр костела Св. Мартина,1908,Photograph,10_pict,Ігор Котлобулатов,Львів,"Архітектура, костел, скульптура, живопис, декоративне мистецтво","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/84
85,Інтер'єр костелу єзуїтів,1908,Photograph,10_pict,Ігор Котлобулатов,Львів,"Костел, інтер'єр, архітектурні деталі, скульптура","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/85
86,"Портал давнього будинку на вул. Бляхарській, 19",1900-1906,Photograph,3_pict,Львівський історичний музей,Львів,"Будинок, архітектурні деталі, скульптура","Мауриси Фрухтманн;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","Мауриси Фрухтманн;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/86
87,Завулок біля Кафедрального костела у Львові,1900-1910,Photograph,3_pict,Львівський історичний музей,Львів,"Вулиця, будинки, транспорт, газовий ліхтар","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/87
88,Інтер'єр костела Св. Марії Магдалини,1906,Photograph,10_pict,Ігор Котлобулатов,Львів,"Архітектура, костел, скульптура, живопис, декоративне мистецтво","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/88
89,Головний вівтар костела кармеліток босих.,1906,Photograph,10_pict,Ігор Котлобулатов,Львів,"Костел, інтер'єр, вівтар, архітектурні деталі","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/89
90,Інтер’єр костела Св. Марії Сніжної,1906,Photograph,10_pict,Ігор Котлобулатов,Львів,"Костел, інтер'єр, меблі, декор","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/90
91,Інтер'єр Волоської  (Успенської) церкви,1908,Photograph,10_pict,Ігор Котлобулатов,Львів,"Архітектура, церква, інтер'єр, скульптура, живопис","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/91
92,Іконостас Преображенської церкви,1900-1910,Photograph,3_pict,Львівський історичний музей,Львів,"Церква, архітектура, іконостас, живопис","Теодозій Багринович;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","Теодозій Багринович;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/92
93,Преображенська церква,1910,Photograph,10_pict,Ігор Котлобулатов,Львів,"Вулиці Театральна, Скарбковска, церква, міська зелень, люди","Теодозій Багринович;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","Теодозій Багринович;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/93
94,Головний вівтар Латинської катедри,1906,Photograph,10_pict,Ігор Котлобулатов,Львів,"Латинська катедра, вівтар, скульптури, архітектурні деталі","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/94
96,Вівтар домініканського костела Божого тіла,1906,Photograph,10_pict,Ігор Котлобулатов,Львів,"Архітектура, костел, вівтар, скульптура","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов","невідомий;Видавництво ""Центр Європи"", Львів;Ігор Котлобулатов",https://uma.lvivcenter.org/uk/photos/96
97,"Будинок банківського дому ""Сокаль&amp;Лілієн""",1900-1907,Photograph,3_pict,Львівський історичний музей,Львів,"Вулиці Гетманьска, Кіліньскєго, банк, трамвайна колія, люди, реклама","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/97
98,Кам'яниця Баллабана,1900-1907,Photograph,3_pict,Львівський історичний музей,Львів,"Вулиці Галицька, Валова, будинки, ліхтарі, торгівля, люди","невідомий;Видавництво ""Центр Європи"", Львів;Бібліотека Інституту Народознавства при НАНУ, Львів","невідомий;Видавництво ""Центр Європи"", Львів;Бібліотека Інституту Народознавства при НАНУ, Львів",https://uma.lvivcenter.org/uk/photos/98
99,Вулиця Саксаганського,1912,Photograph,3_pict,Львівський історичний музей,Львів,"Вулиця, будинки, реклама","Рудольф Губер, Зофія Губер;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","Рудольф Губер, Зофія Губер;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/99
100,Головна брама Львівського вокзалу,1904-1910,Photograph,3_pict,Львівський історичний музей,Львів,"Вокзал, брама, декор, люди, авто, велосипед, бруківка","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/100
103,Фонтан з фігурою Амфітрити,1920-1939,Photograph,24_pict,Л. Сімутін,Львів,"Фонтан, скульптурна фігура Амфітрити, площа Ринок, вул. Шевська, вул. Краківська","Адам Ленкевич;""Галицька брама"", Львів;Леонід Сімутін","Адам Ленкевич;""Галицька брама"", Львів;Леонід Сімутін",https://uma.lvivcenter.org/uk/photos/103
104,"Фонтан ""Світезянка""",1920-1939,Photograph,24_pict,Л. Сімутін,Львів,"Фонтан, площа Галицька, вулиця Галицька, Міська ощадна каса, вежа Латинської катедри","Адам Ленкевич;""Галицька брама"", Львів;Леонід Сімутін","Адам Ленкевич;""Галицька брама"", Львів;Леонід Сімутін",https://uma.lvivcenter.org/uk/photos/104
105,Споруда головного вокзалу,1915,Postcards,19_pict,Тарас Піняжко,Львів,"Вокзал, площа, електричний трамвай, конні екіпажі, електричні ліхтарі","невідомий;ЕРЕС, Львів;Тарас Піняжко","невідомий;ЕРЕС, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/105
106,Трансляційна станція Львівського радіо,1930-1939,Postcards,19_pict,Тарас Піняжко,Львів,"Радіостанція, вулиця Понінського, трансляційна вежа","невідомий;А. Х. Польське радіо, С. А. Львів;Тарас Піняжко","невідомий;А. Х. Польське радіо, С. А. Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/106
107,Проспект Т. Шевченка,1914-1915,Postcards,19_pict,Тарас Піняжко,Львів,"вулиця Академічна, Торгово-промислова палата, сквер, квітники","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/107
110,Площа Галицька та вулиця Валова,1913,Postcards,19_pict,Тарас Піняжко,Львів,"Площа, сквер, вулиця Валова, будинки, кіоски, рекламна тумба, міська зелень","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/110
111,Пам'ятник Адаму Міцкевичу на тлі будинку Шпрехера,1928,Photograph,3_pict,Львівський історичний музей,Львів,"Площа Міцкевича, пам'ятник, багатоповерховий будинок","Адам Ленкевич;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","Адам Ленкевич;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/111
112,Вулиця Черешнева,1939,Photograph,19_pict,Тарас Піняжко,Львів,"Вулиця, вілли, сади","Броніслав Купєц;""Книжниця-Атлас"", Львів;Тарас Піняжко","Броніслав Купєц;""Книжниця-Атлас"", Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/112
113,Ресторан в парку Кілінського,1934,Photograph,19_pict,Тарас Піняжко,Львів,"Парк, став, ресторан",невідомий;Неопубліковані ресурси;Тарас Піняжко,невідомий;Неопубліковані ресурси;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/113
114,Державний архів Львівської області,1890-1900,Photograph,10_pict,Ігор Котлобулатов,Львів,"Королівський арсенал, вулиця Підвальна",невідомий;невідомий;Ігор Котлобулатов,невідомий;невідомий;Ігор Котлобулатов,https://uma.lvivcenter.org/uk/photos/114
120,Пам'ятник Агенору Голуховському,1921-1944,Photograph,10_pict,Ігор Котлобулатов,Львів,"Пам'ятник, міський (Єзуїтський) парк, вулиця 3 Мая",Ігор Котлобулатов,Ігор Котлобулатов,https://uma.lvivcenter.org/uk/photos/120
121,Проспект Свободи,"1914 – 1915, Перша світова війна",Photograph,8_pict,"Бібліотека Конгресу США, Вашингтон",Львів,"Гетьманські вали, Оперний театр","невідомий;Бібліотека Конгресу США, Вашингтон;Бібліотека Конгресу, Вашингтон","невідомий;Бібліотека Конгресу США, Вашингтон;Бібліотека Конгресу, Вашингтон",https://uma.lvivcenter.org/uk/photos/121
122,Російські полонені у Львові,1914-1918,Photograph,8_pict,"Бібліотека Конгресу США, Вашингтон",Львів,"Полонені, люди на вулиці, перша світова війна","невідомий;невідомий;Бібліотека Конгресу, Вашингтон","невідомий;невідомий;Бібліотека Конгресу, Вашингтон",https://uma.lvivcenter.org/uk/photos/122
123,Перспектива північного боку проспекту Шевченка,1914-1915,Postcards,19_pict,Тарас Піняжко,Львів,"Вулиця Академічна, сквер, конні екіпажі, Торгово-промислова палата","невідомий;""Тенча"", Львів;Тарас Піняжко","невідомий;""Тенча"", Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/123
124,Площа Галицька та частина вул. Валової,1916,Postcards,19_pict,Тарас Піняжко,Львів,"Площа, вулиця, сквер, будинки, трамвайна колія, гужовий транспорт, перехожі","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко","невідомий;Видавництво салону польських художників, Краків;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/124
125,В'їзд на залізничний вокзал,1915-1917,Postcards,19_pict,Тарас Піняжко,Львів,"Алея, будівлі, вокзал, вершник, люди, газовий ліхтар","невідомий;Давід Грунд, Львів;Тарас Піняжко","невідомий;Давід Грунд, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/125
126,Дорожній випадок,Міжвоєнні роки (1918-1939),Photographic plate,72_pict,Олександр Коробов,Львів,"Аварія, нещасний випадок, швидка допомога",Марек Мюнц;невідомий;Олександр Коробов,Марек Мюнц;невідомий;Олександр Коробов,https://uma.lvivcenter.org/uk/photos/126
127,Русин в однострої австрійського солдата,"1914 – 1918, Перша світова війна",Photograph,16_pict,Роман Захарій,Бережани,"Вояк, портрет",невідомий;невідомий;Роман Захарій,невідомий;невідомий;Роман Захарій,https://uma.lvivcenter.org/uk/photos/127
128,Поруйнований залізничний вокзал,1941,Photography (film),110_pict,Дітріх Деммер,Львів,"вулиця, люди, вокзал, залізниця, руїни, військо, солдат, зброя",Вільгельм Деммер;Неопубліковані ресурси;Дітріх Деммер,Вільгельм Деммер;Неопубліковані ресурси;Дітріх Деммер,https://uma.lvivcenter.org/uk/photos/128
147,Будинок у парку імені Івана Франка,1900,Photograph,3_pict,Львівський історичний музей,Львів,"Ресторан в міському парку, люди, ліхтарі, кафе під відкритим небом","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей","невідомий;Видавництво ""Центр Європи"", Львів;Львівський історичний музей",https://uma.lvivcenter.org/uk/photos/147
148,Центральний вхід до парку імені Івана Франка,1916,Postcards,19_pict,Тарас Піняжко,Львів,"Міський парку, люди, ваза, дерева","невідомий;Видавництво польського мистецтва, Львів;Тарас Піняжко","невідомий;Видавництво польського мистецтва, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/148
149,Вид на парк ім. Івана Франка,1914-1915,Postcards,19_pict,Тарас Піняжко,Львів,"Міський парк, головний квітник, вазу, собор Святого Юра","невідомий;Арнольд і Шляг, Львів;Тарас Піняжко","невідомий;Арнольд і Шляг, Львів;Тарас Піняжко",https://uma.lvivcenter.org/uk/photos/149
150,Проспект Свободи,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Гетьманські Вали, клумба, будинок № 6-7 на пл. Маріацькій",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/150
151,Фонтан з фігурою Амфітрити,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Площа Ринок, фонтан, скульптура",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/151
152,Вокзал,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Залізниця, вокзал, перон, дебаркадер, перекриття",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/152
153,Мотив панорами Львова,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,Батальна сцена,Войцех Коссак;невідомий;Тарас Піняжко,Войцех Коссак;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/153
154,Пам'ятник Слави,1934-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Пам'ятник Слави, колонада, скульптури левів, каплиця",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/154
155,Площа Марійська,1941-1944,Photograph,19_pict,Тарас Піняжко,Львів,"Площа Маріацка, фонтан Діви Марії, будинки, трамвай, перехожі, військовий",невідомий;невідомий;Тарас Піняжко,невідомий;невідомий;Тарас Піняжко,https://uma.lvivcenter.org/uk/photos/155
